Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.33,-.05,-.40,-.17,-.01,-1.02,-.49,-.28,-.21,-.12,-.04,.05,.65
1881,-.10,-.19,-.01,-.34,.05,-.07,-.83,-.47,-.17,.03,.08,-.05,-.07,.57
1882,-.11,-.21,-.01,-.29,-.07,.03,-1.41,-.27,-.10,-.09,-.05,.03,.04,.60
1883,-.19,-.32,-.06,-.37,-.20,.01,-.31,-.60,-.24,-.24,-.17,-.01,.07,.48
1884,-.29,-.44,-.15,-.57,-.20,-.13,-1.29,-.60,-.42,-.22,-.18,-.18,-.02,.63
1885,-.31,-.40,-.23,-.60,-.15,-.25,-1.15,-.68,-.43,-.09,-.21,-.30,-.15,.80
1886,-.32,-.42,-.23,-.53,-.25,-.22,-1.22,-.50,-.42,-.25,-.25,-.21,-.20,.57
1887,-.35,-.41,-.30,-.47,-.32,-.27,-1.54,-.47,-.28,-.31,-.33,-.27,-.26,.30
1888,-.18,-.23,-.13,-.42,.08,-.29,-1.45,-.42,-.23,.07,.08,-.31,-.23,.14
1889,-.11,-.18,-.05,-.28,.05,-.16,-.84,-.20,-.23,-.01,.10,-.15,-.16,.43
1890,-.38,-.43,-.33,-.48,-.42,-.22,-1.28,-.55,-.28,-.35,-.50,-.17,-.28,.13
1891,-.25,-.29,-.21,-.44,-.13,-.21,-1.27,-.32,-.34,-.05,-.22,-.17,-.24,-.18
1892,-.27,-.39,-.16,-.42,-.31,-.08,-1.30,-.61,-.13,-.34,-.28,.03,-.22,.07
1893,-.32,-.46,-.19,-.49,-.40,-.07,-.89,-.52,-.38,-.43,-.36,.04,-.21,-.06
1894,-.32,-.40,-.24,-.34,-.36,-.24,-1.34,-.28,-.14,-.49,-.23,-.16,-.35,-.40
1895,-.23,-.30,-.17,-.39,-.10,-.26,-.94,-.46,-.21,-.16,-.04,-.20,-.32,-.60
1896,-.12,-.21,-.03,-.36,.08,-.15,-1.22,-.35,-.17,.04,.13,-.15,-.14,.23
1897,-.12,-.18,-.07,-.35,.13,-.24,-.76,-.39,-.21,.09,.17,-.20,-.28,.38
1898,-.29,-.30,-.27,-.33,-.27,-.26,-1.24,-.16,-.21,-.26,-.28,-.27,-.21,.36
1899,-.19,-.22,-.16,-.22,-.16,-.19,-1.07,-.01,-.14,-.21,-.11,-.16,-.22,.56
1900,-.10,-.09,-.09,-.19,.13,-.30,-.62,-.09,-.15,.06,.20,-.30,-.29,.25
1901,-.16,-.10,-.20,-.12,-.07,-.31,-.49,-.03,-.08,-.08,-.06,-.28,-.34,.24
1902,-.30,-.35,-.25,-.51,-.10,-.35,-1.44,-.41,-.33,-.09,-.12,-.29,-.43,-.07
1903,-.39,-.39,-.40,-.46,-.34,-.39,-.34,-.38,-.54,-.28,-.40,-.37,-.40,-.48
1904,-.50,-.51,-.49,-.51,-.53,-.44,-.22,-.56,-.55,-.50,-.56,-.38,-.49,-1.29
1905,-.29,-.32,-.26,-.41,-.16,-.36,-.18,-.18,-.61,-.19,-.12,-.34,-.37,-.31
1906,-.23,-.24,-.22,-.24,-.22,-.23,-.39,.00,-.36,-.24,-.20,-.20,-.23,-.69
1907,-.40,-.48,-.32,-.58,-.34,-.29,-.73,-.70,-.47,-.33,-.35,-.21,-.37,-1.18
1908,-.44,-.47,-.41,-.49,-.47,-.35,-.45,-.51,-.48,-.46,-.49,-.28,-.48,.70
1909,-.48,-.48,-.48,-.49,-.50,-.44,-.79,-.51,-.41,-.47,-.54,-.37,-.52,-.55
1910,-.43,-.44,-.43,-.38,-.52,-.37,-.64,-.16,-.47,-.52,-.52,-.32,-.45,.18
1911,-.42,-.39,-.46,-.37,-.43,-.47,-.21,-.36,-.42,-.43,-.44,-.42,-.52,.07
1912,-.36,-.46,-.25,-.58,-.19,-.35,-.64,-.72,-.48,-.28,-.10,-.35,-.29,-1.61
1913,-.35,-.44,-.26,-.42,-.31,-.33,-.67,-.26,-.47,-.46,-.17,-.26,-.40,-1.02
1914,-.16,-.20,-.11,-.25,-.08,-.17,-.58,-.08,-.27,-.14,-.02,-.15,-.18,-.34
1915,-.12,-.11,-.12,-.19,.00,-.21,-.59,-.07,-.16,.00,-.01,-.14,-.23,-1.96
1916,-.33,-.36,-.30,-.30,-.44,-.21,-.31,-.43,-.21,-.47,-.40,-.21,-.17,-1.03
1917,-.44,-.54,-.34,-.41,-.64,-.18,-.65,-.37,-.39,-.72,-.56,-.22,-.09,.08
1918,-.28,-.37,-.20,-.38,-.32,-.13,-1.21,-.16,-.30,-.35,-.29,-.05,-.22,-.26
1919,-.26,-.33,-.19,-.41,-.19,-.22,-.88,-.44,-.27,-.22,-.16,-.14,-.32,.22
1920,-.25,-.26,-.24,-.19,-.25,-.31,.02,-.06,-.32,-.36,-.14,-.18,-.48,-1.12
