Station: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.81,-.39,-.46,-.65,-.34,-.47,-.46,.09,-.49,-.66,-.50,-.53,-.47,***,***,-.48,-.28,-.55
1881,-.77,-.61,-.35,-.24,-.01,-1.08,-.50,-.22,-.33,-.47,-.54,-.13,-.44,-.47,-.64,-.20,-.60,-.45
1882,.14,-.10,-.06,-.57,-.36,-1.01,-.69,-.10,-.06,-.29,-.37,-.66,-.34,-.30,-.03,-.33,-.60,-.24
1883,-.66,-.93,-.43,-.29,-.33,.47,.02,-.13,-.42,-.54,-.67,-.36,-.36,-.38,-.75,-.35,.12,-.54
1884,-.57,-.32,-.37,-.92,-1.16,-.79,-.81,.19,-.33,-.74,-.79,-.96,-.63,-.58,-.42,-.82,-.47,-.62
1885,-.89,-.76,-.88,-.84,-.46,-.90,-.58,-.13,-.12,.00,-.35,.05,-.49,-.57,-.87,-.73,-.54,-.16
1886,-.74,-.81,-.66,-.60,-.54,-.81,-.36,-.71,-.40,-.84,-.47,-.72,-.64,-.58,-.50,-.60,-.63,-.57
1887,-.86,-1.26,-.58,-.83,-.85,-.66,-.40,-.25,-.61,-.55,-.91,-.65,-.70,-.71,-.95,-.75,-.44,-.69
1888,-.74,-.82,-.91,-.31,-.76,-.56,-.36,-.35,-.42,-.27,-.06,-.18,-.48,-.52,-.74,-.66,-.42,-.25
1889,-.31,.15,.05,.10,.09,-.32,-.43,-.62,-.38,-.22,-.45,-.46,-.23,-.21,-.11,.08,-.45,-.35
1890,-.62,-.64,-.63,-.54,-.93,-.59,-.61,-.63,-.36,-.28,-.78,-.56,-.60,-.59,-.57,-.70,-.61,-.47
1891,-.97,-1.09,-.54,-.69,-.50,-.58,-.76,-.59,-.54,-.59,-.58,.00,-.62,-.67,-.88,-.58,-.64,-.57
1892,-.64,-.33,-.61,-.72,-.67,-.58,-.39,-.28,-.49,-.36,-.64,-.61,-.53,-.48,-.32,-.67,-.42,-.50
1893,-1.45,-1.01,-.61,-.68,-.75,-.70,-.16,-.37,-.28,-.11,-.15,-.40,-.56,-.58,-1.03,-.68,-.41,-.18
1894,-.88,-.65,-.42,-.68,-.69,-.50,-.40,-.34,-.44,-.11,-.17,-.20,-.46,-.47,-.64,-.60,-.42,-.24
1895,-.72,-.82,-.54,-.50,-.33,-.32,-.56,-.22,-.17,-.13,-.18,-.10,-.38,-.39,-.58,-.45,-.37,-.16
1896,-.25,-.31,-.55,-.49,-.46,-.49,-.23,-.41,-.13,-.06,-.47,-.24,-.34,-.33,-.22,-.50,-.38,-.22
1897,-.29,-.53,-.33,-.13,-.28,-.20,-.13,-.33,-.17,-.25,-.02,-.25,-.24,-.24,-.35,-.25,-.22,-.14
1898,-.14,-.46,-.83,-.59,-.65,-.33,-.37,-.25,-.05,-.42,-.52,-.23,-.40,-.41,-.28,-.69,-.32,-.33
1899,-.44,-.62,-.38,-.27,-.42,-.55,-.32,-.30,-.03,-.29,-.03,-.23,-.32,-.32,-.43,-.36,-.39,-.12
1900,-.56,-.07,-.19,-.18,-.18,-.13,-.37,-.18,-.09,.13,-.14,-.08,-.17,-.18,-.29,-.18,-.23,-.03
1901,-.21,-.12,-.11,-.08,-.20,.02,-.26,-.22,.03,-.18,-.13,-.21,-.14,-.13,-.14,-.13,-.15,-.09
1902,-.30,-.04,-.18,-.21,-.32,-.35,-.44,-.52,-.41,-.45,-.49,-.56,-.36,-.33,-.18,-.24,-.43,-.45
1903,-.35,-.15,-.17,-.56,-.46,-.64,-.32,-.43,-.41,-.48,-.47,-.61,-.42,-.42,-.35,-.40,-.46,-.45
1904,-.79,-.76,-.56,-.44,-.64,-.50,-.62,-.51,-.45,-.54,-.27,-.43,-.54,-.56,-.72,-.55,-.54,-.42
1905,-.43,-.98,-.24,-.33,-.35,-.32,-.44,-.28,-.23,-.38,-.09,-.26,-.36,-.37,-.61,-.31,-.34,-.23
1906,-.17,-.33,-.33,.06,-.20,-.22,-.21,-.16,-.30,-.18,-.53,-.26,-.24,-.24,-.25,-.16,-.20,-.34
1907,-.48,-.67,-.44,-.59,-.59,-.66,-.43,-.55,-.40,-.33,-.60,-.67,-.53,-.50,-.47,-.54,-.55,-.44
1908,-.38,-.33,-.52,-.46,-.34,-.44,-.41,-.40,-.17,-.41,-.59,-.41,-.40,-.42,-.46,-.44,-.41,-.39
1909,-.78,-.58,-.49,-.61,-.59,-.42,-.34,-.10,-.19,-.17,-.14,-.54,-.41,-.40,-.59,-.57,-.29,-.17
1910,-.45,-.38,-.46,-.30,-.25,-.34,-.23,-.14,-.09,-.29,-.51,-.64,-.34,-.33,-.46,-.34,-.24,-.29
1911,-.64,-.64,-.59,-.51,-.36,-.36,-.14,-.23,-.24,-.16,-.12,-.23,-.35,-.39,-.64,-.49,-.24,-.17
1912,-.16,-.10,-.41,-.28,-.17,-.24,-.49,-.62,-.34,-.46,-.41,-.32,-.33,-.33,-.16,-.29,-.45,-.40
1913,-.44,-.47,-.56,-.30,-.62,-.60,-.22,-.20,-.20,-.28,-.13,.06,-.33,-.36,-.41,-.49,-.34,-.20
1914,.15,-.03,-.03,-.19,-.01,-.09,-.20,-.07,-.06,.13,-.32,-.20,-.08,-.06,.06,-.08,-.12,-.08
1915,-.16,.06,-.09,-.01,-.20,-.20,.04,-.18,.00,-.09,.06,-.10,-.07,-.08,-.10,-.10,-.12,-.01
1916,-.05,-.12,-.45,-.28,-.34,-.48,-.35,-.10,-.17,-.13,-.36,-.79,-.30,-.24,-.09,-.36,-.31,-.22
1917,-.50,-.73,-.77,-.52,-.77,-.44,.01,-.37,-.30,-.48,-.32,-.92,-.51,-.50,-.67,-.69,-.27,-.37
1918,-.61,-.57,-.49,-.53,-.76,-.43,-.47,-.46,-.15,.03,-.23,-.34,-.42,-.47,-.70,-.59,-.46,-.12
1919,-.29,-.22,-.10,-.12,-.14,-.15,-.06,-.07,-.17,-.05,-.42,-.27,-.17,-.18,-.28,-.12,-.09,-.21
1920,-.10,-.26,-.14,-.18,-.31,-.37,-.20,-.13,-.14,-.42,-.31,-.47,-.25,-.24,-.21,-.21,-.23,-.29
1921,.00,-.15,-.10,-.17,-.17,-.09,.03,-.45,-.12,-.09,-.24,-.16,-.14,-.17,-.21,-.15,-.17,-.15
1922,-.38,-.44,-.29,-.09,-.35,-.30,-.02,-.22,-.11,-.23,-.09,-.13,-.22,-.22,-.33,-.24,-.18,-.14
1923,-.22,-.19,-.21,-.44,-.30,-.25,-.47,-.34,-.27,-.07,.00,-.06,-.24,-.24,-.18,-.32,-.36,-.11
1924,-.26,-.41,-.12,-.49,-.26,-.14,-.13,-.15,-.04,-.11,-.04,-.27,-.20,-.18,-.24,-.29,-.14,-.07
1925,-.41,-.35,-.26,-.15,-.32,-.39,-.40,-.08,-.28,-.34,-.01,.20,-.23,-.27,-.34,-.24,-.29,-.21
1926,.26,.29,.21,-.11,-.36,-.21,-.16,.03,.02,-.11,.04,-.24,-.03,.01,.25,-.08,-.11,-.02
1927,-.18,-.18,-.37,-.34,-.29,-.25,-.04,-.25,-.11,.14,.12,-.23,-.16,-.17,-.20,-.33,-.18,.05
1928,.07,-.01,-.09,-.06,-.38,-.55,-.05,-.03,.03,-.03,.09,-.04,-.09,-.10,-.06,-.18,-.21,.03
1929,-.27,-.50,-.33,-.42,-.41,-.43,-.36,-.36,-.19,.03,-.02,-.59,-.32,-.27,-.27,-.39,-.38,-.06
1930,-.21,-.19,-.05,-.20,-.14,-.19,-.18,-.15,-.11,-.27,.11,-.06,-.14,-.18,-.33,-.13,-.18,-.09
1931,-.14,-.28,-.05,-.30,-.17,-.09,.07,.09,-.17,.05,-.16,.07,-.09,-.10,-.16,-.17,.02,-.09
1932,.33,-.28,-.20,.06,-.19,-.47,-.23,-.18,.05,.09,-.10,-.15,-.11,-.09,.04,-.11,-.29,.01
1933,-.36,-.28,-.25,-.19,-.13,-.27,-.12,-.18,-.10,-.08,-.36,-.55,-.24,-.20,-.26,-.19,-.19,-.18
1934,-.14,-.12,-.36,-.35,.00,-.18,.00,.07,-.08,-.05,.05,.07,-.09,-.14,-.27,-.24,-.04,-.03
1935,-.33,.22,.03,-.49,-.35,-.22,-.28,-.25,-.38,-.06,-.32,-.18,-.22,-.20,-.01,-.27,-.25,-.25
1936,-.28,-.43,-.16,-.03,-.29,-.17,.21,.01,-.01,.02,.04,.10,-.08,-.11,-.30,-.16,.02,.02
