Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.47,-.66,-.33,-.75,-.37,-.30,-1.15,-.82,-.62,-.32,-.47,-.27,.01,*****
1881,-.44,-.50,-.44,-.54,-.36,-.46,-.92,-.70,-.33,-.32,-.37,-.39,-.29,*****
1882,-.34,-.48,-.30,-.56,-.18,-.33,-1.37,-.45,-.44,-.14,-.25,-.27,-.16,*****
1883,-.36,-.66,-.15,-.75,-.25,-.16,-.18,-1.01,-.70,-.27,-.14,-.16,.22,*****
1884,-.63,-.87,-.47,-.97,-.51,-.46,-1.19,-1.05,-.85,-.47,-.53,-.31,-.70,*****
1885,-.49,-.69,-.42,-.81,-.24,-.42,-1.27,-.85,-.65,-.14,-.45,-.31,-.48,*****
1886,-.64,-.68,-.61,-.75,-.51,-.53,-1.17,-.69,-.68,-.38,-.91,-.43,-.53,*****
1887,-.70,-.72,-.68,-.78,-.63,-.59,-1.55,-.86,-.49,-.50,-.95,-.56,-.28,*****
1888,-.48,-.70,-.37,-.80,-.30,-.41,-1.48,-.95,-.49,-.28,-.30,-.11,-.85,*****
1889,-.23,-.38,-.18,-.47,-.02,-.35,-.65,-.48,-.39,-.07,.12,-.17,-.53,*****
1890,-.60,-.57,-.66,-.61,-.64,-.48,-1.06,-.77,-.34,-.44,-.91,-.49,-.21,*****
1891,-.62,-.55,-.77,-.63,-.62,-.52,-1.21,-.54,-.53,-.28,-1.11,-.42,-.48,*****
1892,-.53,-.58,-.54,-.66,-.44,-.50,-1.38,-.75,-.38,-.32,-.57,-.47,-.32,*****
1893,-.56,-.60,-.59,-.64,-.61,-.39,-.93,-.65,-.54,-.47,-.78,-.52,.19,*****
1894,-.46,-.49,-.50,-.53,-.53,-.29,-1.14,-.52,-.32,-.37,-.70,-.36,.13,*****
1895,-.38,-.48,-.36,-.54,-.37,-.23,-.87,-.62,-.36,-.27,-.49,-.21,-.05,*****
1896,-.34,-.44,-.37,-.56,-.31,-.14,-1.11,-.69,-.25,-.06,-.59,-.09,-.03,*****
1897,-.24,-.29,-.25,-.39,-.05,-.35,-.70,-.39,-.28,.04,-.14,-.18,-.50,*****
